Latitude,Longitude,Rainfall,GW_Recharge,GW_Extraction,Extraction_Stage_Perc,Prev_GW,GW_Level
23.32,69.9,764.9,88169.06,70248.98,83.87,48.75,47.43
23.11252,69.57956,764.9,88169.06,70248.98,83.87,66.1,64.95
23.3,69.75,764.9,88169.06,70248.98,83.87,61.85,60.76
23.17139,69.6375,764.9,88169.06,70248.98,83.87,13.0,12.42
23.20833,69.61667,764.9,88169.06,70248.98,83.87,15.3,13.05
23.16,69.79,764.9,88169.06,70248.98,83.87,16.05,14.83
23.1,69.8,764.9,88169.06,70248.98,83.87,58.7,57.28
23.34194,69.80528,764.9,88169.06,70248.98,83.87,19.05,17.68
23.19679,69.49677,764.9,88169.06,70248.98,83.87,38.05,36.68
22.96,69.3,764.9,88169.06,70248.98,83.87,19.6,18.23
22.93972,69.17889,764.9,88169.06,70248.98,83.87,7.5,6.85
22.97472,69.36361,764.9,88169.06,70248.98,83.87,13.05,11.78
23.0475,69.18583,764.9,88169.06,70248.98,83.87,6.4,5.13
22.85972,69.28722,764.9,88169.06,70248.98,83.87,37.1,35.8
22.99611,69.20694,764.9,88169.06,70248.98,83.87,3.95,2.48
22.9,69.14,764.9,88169.06,70248.98,83.87,10.25,7.65
23.11,69.3,764.9,88169.06,70248.98,83.87,83.9,82.38
22.96806,69.4375,764.9,88169.06,70248.98,83.87,16.45,16.45
22.89,69.52,764.9,88169.06,70248.98,83.87,85.55,84.61
23.08999,69.4708,764.9,88169.06,70248.98,83.87,64.85,63.66
23.08899,69.4707,764.9,88169.06,70248.98,83.87,40.05,38.81
23.08979,69.4706,764.9,88169.06,70248.98,83.87,63.55,61.37
23.015,69.11417,764.9,88169.06,70248.98,83.87,23.9,22.3
23.02611,69.34472,764.9,88169.06,70248.98,83.87,7.4,5.35
23.14,69.4,764.9,88169.06,70248.98,83.87,12.95,11.53
23.01067,69.45085,764.9,88169.06,70248.98,83.87,8.25,7.25
23.12806,69.22972,764.9,88169.06,70248.98,83.87,35.55,33.98
23.48972,69.42917,764.9,88169.06,70248.98,83.87,18.05,16.78
23.18528,69.31917,764.9,88169.06,70248.98,83.87,83.65,82.36
23.21289,69.39605,764.9,88169.06,70248.98,83.87,47.88,50.78
23.22861,69.40222,764.9,88169.06,70248.98,83.87,32.42,30.88
23.50472,69.17972,764.9,88169.06,70248.98,83.87,20.55,18.98
23.4075,69.16639,764.9,88169.06,70248.98,83.87,44.85,43.38
23.31028,69.25806,764.9,88169.06,70248.98,83.87,30.75,29.33
23.42833,69.05833,764.9,88169.06,70248.98,83.87,72.9,71.5
23.43694,69.50056,764.9,88169.06,70248.98,83.87,11.65,10.33
23.43278,69.3925,764.9,88169.06,70248.98,83.87,13.85,12.61
23.51972,69.02639,764.9,88169.06,70248.98,83.87,34.85,33.45
23.27828,69.35856,764.9,88169.06,70248.98,83.87,12.4,12.2
23.35139,69.40667,764.9,88169.06,70248.98,83.87,6.05,4.83
23.45889,69.13389,764.9,88169.06,70248.98,83.87,38.05,37.26
23.35389,69.12694,764.9,88169.06,70248.98,83.87,17.8,17.4
23.49056,69.37861,764.9,88169.06,70248.98,83.87,14.35,13.03
23.55121,69.26808,764.9,88169.06,70248.98,83.87,3.65,2.33
23.57222,72.04028,764.9,114939.73,125396.49,114.84,4.2,3.4
23.5775,72.00833,764.9,114939.73,125396.49,114.84,46.2,40.0
23.51026,72.18453,764.9,114939.73,125396.49,114.84,5.95,4.98
23.51111,72.1225,764.9,114939.73,125396.49,114.84,8.5,8.0
23.51111,72.1225,764.9,114939.73,125396.49,114.84,21.3,20.3
23.54722,72.10556,764.9,114939.73,125396.49,114.84,6.2,5.4
23.47724,72.1116,764.9,114939.73,125396.49,114.84,4.4,3.4
23.54289,72.11211,764.9,114939.73,125396.49,114.84,6.97,4.9
23.62,72.24,764.9,114939.73,125396.49,114.84,34.35,34.3
23.57808,72.1551,764.9,114939.73,125396.49,114.84,6.97,6.33
23.57333,72.14444,764.9,114939.73,125396.49,114.84,42.6,42.2
